"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
15,4,4
25,4,5
36,4,5
48,4,6
59,4,5
71,4,6
81,4,5
93,4,6
105,4,6
122,4,5
130,4,4
139,4,5
151,4,6
162,4,5
175,4,6
190,4,7
205,4,8
220,4,6
235,4,8
244,4,5
261,4,9
269,4,4
280,4,6
291,4,5
304,4,7
321,4,10
338,4,10
353,4,7
365,4,7
382,4,9
400,4,8
418,4,10
431,4,6
453,4,9
469,4,9
485,4,8
503,4,9
519,4,10
536,4,10
551,4,9
565,4,9
579,4,9
595,4,9
611,4,10
627,4,10
644,4,10
660,4,10
673,4,8
692,4,9
712,4,9
727,4,10
736,4,5
747,4,6
758,4,6
772,4,8
785,4,8
804,4,11
823,4,10
838,4,9
849,4,6
860,4,6
872,4,7
887,4,8
902,4,9
917,4,9
929,4,7
946,4,10
955,4,5
964,4,6
978,4,8
991,4,8
1006,4,8
1024,4,11
1040,4,10
1056,4,9
1066,4,6
1076,4,6
1089,4,7
1104,4,8
1120,4,9
1136,4,9
1149,4,7
1170,4,10
1182,4,5
1193,4,6
1207,4,8
1222,4,8
1237,4,8
1257,4,11
1276,4,10
1292,4,9
1304,4,6
1315,4,6
1328,4,7
1342,4,8
1358,4,9
1374,4,9
1386,4,7
1403,4,10
1412,4,5
1423,4,6
1438,4,8
1453,4,8
1469,4,8
1489,4,11
1508,4,10
1525,4,9
1538,4,6
1549,4,6
1561,4,7
1576,4,8
1591,4,9
1606,4,9
1618,4,7
1634,4,10
1643,4,5
1652,4,6
1665,4,8
1678,4,8
1693,4,8
1711,4,11
1728,4,10
1744,4,9
1754,4,6
1765,4,6
1777,4,7
1790,4,8
1806,4,9
1824,4,9
1835,4,7
1852,4,10
1861,4,5
1871,4,6
1884,4,8
1898,4,8
1911,4,8
1930,4,11
1946,4,10
1961,4,9
1971,4,6
1982,4,6
1994,4,7
2008,4,8
2023,4,9
2038,4,9
2049,4,7
2065,4,10
2073,4,5
2082,4,6
2099,4,8
2117,4,8
2131,4,8
2149,4,11
2166,4,10
2181,4,9
2192,4,6
2202,4,6
2213,4,7
2227,4,8
2241,4,9
2256,4,9
2267,4,7
2283,4,10
2291,4,5
2301,4,6
2315,4,8
2328,4,8
2341,4,8
2359,4,11
2375,4,10
2391,4,9
2401,4,6
2412,4,6
2423,4,7
2440,4,8
2457,4,9
2472,4,9
2483,4,7
2499,4,10
2507,4,5
2517,4,6
2531,4,8
2543,4,8
2557,4,8
2574,4,11
2591,4,10
2606,4,9
2616,4,6
2627,4,6
2638,4,7
2651,4,8
2668,4,9
2682,4,9
2693,4,7
2709,4,10
2717,4,5
2727,4,6
2741,4,8
2753,4,8
2767,4,8
2785,4,11
2801,4,10
2816,4,9
2826,4,6
2836,4,6
2848,4,7
2861,4,8
2877,4,9
2892,4,9
2903,4,7
2919,4,10
2927,4,5
2937,4,6
2951,4,8
2964,4,8
2977,4,8
2999,4,11
3019,4,10
3035,4,9
3045,4,6
3055,4,6
3067,4,7
3080,4,8
3096,4,9
3110,4,9
3122,4,7
3138,4,10
3146,4,5
3158,4,6
3171,4,8
3183,4,8
3196,4,8
3215,4,11
3232,4,10
3247,4,9
3258,4,6
3268,4,6
3280,4,7
3293,4,8
3308,4,9
3323,4,9
3335,4,7
3351,4,10
3359,4,5
3369,4,6
3383,4,8
3396,4,8
3409,4,8
3427,4,11
3444,4,10
3459,4,9
3469,4,6
3480,4,6
3492,4,7
3505,4,8
3521,4,9
3535,4,9
3547,4,7
