"timeMillisSpent","score"
15,"-7hard/48947soft"
25,"-7hard/47006soft"
36,"-6hard/44447soft"
48,"-6hard/52071soft"
59,"-6hard/55696soft"
71,"-6hard/53305soft"
81,"-6hard/52744soft"
93,"-6hard/47958soft"
105,"-6hard/43670soft"
122,"-6hard/48846soft"
130,"-5hard/37955soft"
139,"-5hard/41294soft"
151,"-5hard/41808soft"
162,"-5hard/45201soft"
175,"-5hard/47042soft"
190,"-5hard/49197soft"
205,"-5hard/49374soft"
220,"-5hard/51548soft"
235,"-5hard/49100soft"
244,"-5hard/45369soft"
261,"-5hard/48299soft"
269,"-5hard/52030soft"
280,"-5hard/51360soft"
291,"-5hard/48428soft"
304,"-5hard/46262soft"
321,"-5hard/41037soft"
338,"-5hard/51579soft"
353,"-5hard/54783soft"
365,"-5hard/54962soft"
382,"-5hard/57337soft"
400,"-5hard/53715soft"
418,"-5hard/47104soft"
431,"-5hard/52145soft"
453,"-5hard/49066soft"
469,"-5hard/48443soft"
485,"-5hard/46276soft"
503,"-5hard/49823soft"
519,"-5hard/38879soft"
536,"-5hard/42218soft"
551,"-5hard/45622soft"
565,"-5hard/49015soft"
579,"-5hard/50780soft"
595,"-5hard/50959soft"
611,"-5hard/47412soft"
627,"-5hard/44405soft"
644,"-5hard/41589soft"
660,"-4hard/36549soft"
673,"-4hard/34583soft"
692,"-4hard/34230soft"
712,"-4hard/34011soft"
727,"-4hard/30838soft"
736,"-4hard/34306soft"
747,"-5hard/45025soft"
758,"-5hard/48560soft"
772,"-5hard/52079soft"
785,"-5hard/53923soft"
804,"-5hard/54025soft"
823,"-5hard/53841soft"
838,"-5hard/57192soft"
849,"-5hard/54165soft"
860,"-5hard/51230soft"
872,"-5hard/47608soft"
887,"-4hard/36549soft"
902,"-4hard/36196soft"
917,"-4hard/34301soft"
929,"-4hard/34011soft"
946,"-4hard/30838soft"
955,"-4hard/34306soft"
964,"-5hard/45025soft"
978,"-5hard/48560soft"
991,"-5hard/52079soft"
1006,"-5hard/53923soft"
1024,"-5hard/54025soft"
