"timeMillisSpent","score"
84,"0hard/-1662soft"
114,"0hard/810soft"
141,"0hard/2248soft"
169,"0hard/4244soft"
258,"0hard/5300soft"
315,"0hard/3318soft"
340,"0hard/5231soft"
378,"0hard/3643soft"
393,"0hard/5464soft"
415,"0hard/4479soft"
444,"0hard/2377soft"
460,"0hard/4361soft"
505,"0hard/2830soft"
528,"0hard/4140soft"
552,"0hard/5169soft"
569,"0hard/3544soft"
585,"0hard/5535soft"
625,"0hard/3498soft"
649,"0hard/4959soft"
662,"0hard/3820soft"
688,"0hard/2248soft"
705,"0hard/4244soft"
734,"0hard/2026soft"
756,"0hard/3419soft"
773,"0hard/5331soft"
803,"0hard/6554soft"
827,"0hard/5150soft"
860,"0hard/6988soft"
877,"0hard/5012soft"
897,"0hard/7143soft"
920,"0hard/7783soft"
939,"0hard/6723soft"
978,"0hard/5124soft"
1014,"0hard/3207soft"
1040,"0hard/2046soft"
1063,"0hard/624soft"
1076,"0hard/1948soft"
1098,"0hard/3116soft"
1114,"0hard/4319soft"
1135,"0hard/2165soft"
1155,"0hard/3742soft"
1174,"0hard/1946soft"
1190,"0hard/3742soft"
1204,"0hard/2815soft"
1220,"0hard/4418soft"
1232,"0hard/3304soft"
1243,"0hard/5231soft"
1256,"0hard/4276soft"
1279,"0hard/2125soft"
1293,"0hard/4329soft"
1309,"0hard/2830soft"
1337,"0hard/4140soft"
1354,"0hard/2322soft"
1374,"0hard/4383soft"
1386,"0hard/5778soft"
1404,"0hard/3461soft"
1420,"0hard/4940soft"
1461,"0hard/3643soft"
1483,"0hard/5231soft"
1501,"0hard/4276soft"
1524,"0hard/2081soft"
1544,"0hard/4074soft"
1558,"0hard/2248soft"
1569,"0hard/3820soft"
1583,"0hard/2302soft"
1614,"0hard/4410soft"
1625,"0hard/5534soft"
1654,"0hard/3461soft"
1669,"0hard/5169soft"
1697,"0hard/3978soft"
1718,"0hard/5428soft"
1728,"0hard/4329soft"
1743,"0hard/2276soft"
1757,"0hard/3203soft"
1786,"0hard/1368soft"
1796,"0hard/3497soft"
1812,"0hard/5052soft"
1830,"0hard/6752soft"
1841,"0hard/7854soft"
1851,"0hard/5951soft"
1889,"0hard/4966soft"
1902,"0hard/7290soft"
1927,"0hard/5106soft"
1939,"0hard/7264soft"
1957,"0hard/6105soft"
1984,"0hard/7857soft"
2004,"0hard/6136soft"
2022,"0hard/4360soft"
2048,"0hard/2315soft"
2062,"0hard/4385soft"
2078,"0hard/5366soft"
2094,"0hard/7122soft"
2117,"0hard/5003soft"
2128,"0hard/7143soft"
2136,"0hard/4833soft"
2146,"0hard/6952soft"
2155,"0hard/8012soft"
2168,"0hard/6806soft"
2181,"0hard/5210soft"
2195,"0hard/3273soft"
2212,"0hard/1834soft"
2234,"0hard/468soft"
