"timeMillisSpent","mutationCount"
73,0
114,71
143,73
177,72
213,76
269,76
306,76
352,77
470,79
479,79
499,78
590,78
603,79
636,78
659,83
728,82
793,81
851,84
969,85
1010,83
1080,83
1145,89
1154,83
1160,83
