"timeMillisSpent","score"
73,"0hard/-1704soft"
114,"0hard/224soft"
143,"0hard/1960soft"
177,"0hard/3981soft"
213,"0hard/6395soft"
269,"0hard/8148soft"
306,"0hard/10557soft"
352,"0hard/11700soft"
470,"0hard/12433soft"
479,"0hard/12772soft"
499,"0hard/12892soft"
590,"0hard/13679soft"
603,"0hard/14015soft"
636,"0hard/14139soft"
659,"0hard/15149soft"
728,"0hard/16824soft"
793,"0hard/17302soft"
851,"0hard/18210soft"
969,"0hard/19336soft"
1010,"0hard/19582soft"
1080,"0hard/19657soft"
1145,"0hard/19674soft"
1154,"0hard/19962soft"
1160,"0hard/20058soft"
