"timeMillisSpent","score"
306,"0hard/-1304soft"
525,"0hard/774soft"
719,"0hard/2855soft"
914,"0hard/5014soft"
1078,"0hard/7336soft"
1258,"0hard/9011soft"
1425,"0hard/10634soft"
1580,"0hard/12515soft"
1736,"0hard/13950soft"
1867,"0hard/15234soft"
1995,"0hard/16360soft"
2204,"0hard/17635soft"
2528,"0hard/17725soft"
2769,"0hard/19535soft"
3562,"0hard/19557soft"
3824,"0hard/20261soft"
4502,"0hard/20394soft"
4666,"0hard/21589soft"
4989,"0hard/19428soft"
5300,"0hard/18740soft"
5648,"0hard/18941soft"
6098,"-1hard/19677soft"
7005,"-1hard/20247soft"
30002,"0hard/20179soft"
