"timeMillisSpent","score"
74,"0hard/-1697soft"
103,"0hard/508soft"
133,"0hard/2486soft"
154,"0hard/3583soft"
193,"0hard/4936soft"
216,"0hard/6418soft"
296,"0hard/8366soft"
335,"0hard/10112soft"
399,"0hard/10186soft"
447,"-1hard/11901soft"
481,"-1hard/9856soft"
494,"-1hard/11674soft"
533,"-1hard/10896soft"
553,"-1hard/8214soft"
571,"-2hard/10544soft"
583,"-3hard/11355soft"
600,"-2hard/10584soft"
614,"-2hard/8329soft"
671,"-1hard/5716soft"
693,"-1hard/6103soft"
723,"-1hard/6018soft"
758,"0hard/4394soft"
805,"0hard/6723soft"
828,"-1hard/8798soft"
848,"-1hard/10654soft"
863,"0hard/10203soft"
893,"0hard/10079soft"
919,"0hard/8464soft"
940,"0hard/8522soft"
976,"0hard/10255soft"
989,"0hard/10393soft"
1003,"0hard/10468soft"
1022,"0hard/10556soft"
1049,"0hard/8578soft"
1087,"0hard/8696soft"
1094,"0hard/9764soft"
1103,"0hard/11976soft"
1150,"0hard/12108soft"
1161,"0hard/10287soft"
1173,"0hard/11676soft"
1192,"0hard/10556soft"
1209,"0hard/10479soft"
1241,"0hard/10348soft"
1278,"0hard/10295soft"
1302,"0hard/10509soft"
1327,"0hard/8286soft"
1339,"0hard/9430soft"
1377,"0hard/7948soft"
1395,"0hard/6720soft"
1411,"0hard/8893soft"
1427,"0hard/10231soft"
1435,"0hard/9756soft"
1453,"0hard/9881soft"
1467,"-1hard/12683soft"
1482,"-1hard/12267soft"
1494,"-1hard/9969soft"
1508,"-1hard/11945soft"
1522,"-1hard/10712soft"
1542,"-1hard/11749soft"
1566,"-1hard/13312soft"
1588,"-1hard/12433soft"
1599,"-1hard/12665soft"
1613,"0hard/9913soft"
1633,"0hard/9768soft"
1663,"0hard/11372soft"
1692,"0hard/11241soft"
1721,"0hard/11571soft"
1750,"-1hard/13706soft"
1767,"0hard/11571soft"
1787,"0hard/11502soft"
1834,"0hard/11370soft"
1859,"0hard/11269soft"
1925,"0hard/11021soft"
1948,"0hard/11370soft"
2006,"0hard/11241soft"
2043,"0hard/11420soft"
2111,"0hard/9337soft"
2136,"0hard/10888soft"
2175,"0hard/11237soft"
2196,"-1hard/14172soft"
2234,"-2hard/14101soft"
2250,"-1hard/11912soft"
2264,"-1hard/12044soft"
2277,"-1hard/11922soft"
2288,"-1hard/14101soft"
2316,"-1hard/12069soft"
2343,"-1hard/11750soft"
2356,"-1hard/13907soft"
2403,"0hard/11234soft"
2414,"0hard/11404soft"
