"timeMillisSpent","mutationCount"
73,0
103,73
133,75
154,77
193,78
216,82
296,79
335,81
399,83
863,94
976,86
989,83
1003,84
1022,84
1102,89
1150,86
2919,93
2933,89
2961,90
2971,87
