"timeMillisSpent","score"
17,"-7hard/48947soft"
27,"-6hard/42907soft"
37,"-6hard/50531soft"
46,"-6hard/54156soft"
58,"-5hard/46221soft"
73,"-5hard/46273soft"
89,"-6hard/51316soft"
104,"-6hard/52696soft"
128,"-6hard/56089soft"
155,"-6hard/55798soft"
174,"-6hard/52067soft"
195,"-6hard/51946soft"
215,"-6hard/50296soft"
231,"-4hard/45421soft"
245,"-4hard/49046soft"
267,"-4hard/51741soft"
289,"-4hard/51920soft"
305,"-4hard/51853soft"
321,"-5hard/61686soft"
337,"-5hard/55881soft"
354,"-5hard/57398soft"
369,"-5hard/58880soft"
388,"-5hard/56067soft"
407,"-5hard/56581soft"
418,"-4hard/46072soft"
440,"-4hard/42430soft"
456,"-4hard/41141soft"
474,"-4hard/40311soft"
488,"-4hard/43517soft"
502,"-4hard/43353soft"
518,"-5hard/53263soft"
539,"-5hard/56888soft"
563,"-5hard/56944soft"
581,"-5hard/58426soft"
600,"-5hard/58606soft"
622,"-5hard/58988soft"
638,"-4hard/49016soft"
651,"-4hard/45705soft"
668,"-4hard/42083soft"
684,"-4hard/40912soft"
703,"-4hard/45477soft"
721,"-4hard/45260soft"
738,"-4hard/45083soft"
755,"-4hard/48732soft"
773,"-4hard/52354soft"
787,"-4hard/52561soft"
801,"-4hard/47593soft"
816,"-4hard/51717soft"
832,"-4hard/51880soft"
846,"-4hard/48654soft"
860,"-4hard/45107soft"
874,"-4hard/44960soft"
888,"-5hard/54714soft"
904,"-5hard/54580soft"
915,"-5hard/54492soft"
931,"-5hard/57793soft"
948,"-5hard/61340soft"
965,"-5hard/61406soft"
977,"-4hard/51667soft"
990,"-4hard/47778soft"
1007,"-4hard/52475soft"
1020,"-4hard/52621soft"
1033,"-4hard/48999soft"
1049,"-4hard/48852soft"
1066,"-4hard/45203soft"
1080,"-5hard/55175soft"
1095,"-5hard/50087soft"
1105,"-5hard/54580soft"
1115,"-5hard/58202soft"
1126,"-5hard/58443soft"
1141,"-5hard/58355soft"
1154,"-4hard/48902soft"
1166,"-4hard/51667soft"
1179,"-4hard/47778soft"
1191,"-4hard/52475soft"
1204,"-4hard/52621soft"
1220,"-4hard/52477soft"
1236,"-4hard/48852soft"
1253,"-4hard/45203soft"
1267,"-5hard/55175soft"
1283,"-5hard/50087soft"
1294,"-5hard/54580soft"
1306,"-5hard/54896soft"
1318,"-5hard/58443soft"
1333,"-5hard/58355soft"
1347,"-4hard/48902soft"
1359,"-4hard/51667soft"
1371,"-4hard/47778soft"
1384,"-4hard/52475soft"
1398,"-4hard/52621soft"
1414,"-4hard/52477soft"
1430,"-4hard/48852soft"
1447,"-4hard/45203soft"
1462,"-5hard/55175soft"
1477,"-5hard/50087soft"
1487,"-5hard/54580soft"
1499,"-5hard/54896soft"
1512,"-5hard/58443soft"
1527,"-5hard/58355soft"
1540,"-4hard/48902soft"
1552,"-4hard/51667soft"
1564,"-4hard/47778soft"
1578,"-4hard/52475soft"
1592,"-4hard/52621soft"
1608,"-4hard/52477soft"
1625,"-4hard/48852soft"
