"timeMillisSpent","score"
47,"0hard/-3971soft"
75,"0hard/-1704soft"
96,"0hard/-304soft"
111,"0hard/-246soft"
124,"0hard/-146soft"
144,"0hard/1570soft"
152,"0hard/1960soft"
182,"0hard/3928soft"
193,"0hard/3981soft"
214,"0hard/4116soft"
242,"0hard/6124soft"
253,"0hard/6276soft"
290,"0hard/7729soft"
299,"0hard/7732soft"
307,"0hard/8311soft"
323,"0hard/8339soft"
328,"0hard/8397soft"
361,"0hard/10281soft"
367,"0hard/10297soft"
398,"0hard/11197soft"
431,"0hard/11416soft"
465,"0hard/12571soft"
502,"0hard/13151soft"
508,"0hard/13540soft"
516,"0hard/13592soft"
523,"0hard/14131soft"
532,"0hard/14348soft"
546,"0hard/14421soft"
599,"0hard/14728soft"
610,"0hard/14999soft"
870,"0hard/16217soft"
883,"0hard/16275soft"
886,"0hard/16376soft"
