"timeMillisSpent","mutationCount"
47,0
75,70
96,68
111,69
124,70
144,71
152,71
182,71
193,73
214,74
242,72
253,75
290,75
299,76
307,74
323,76
328,76
361,76
367,77
398,76
431,76
465,77
502,79
508,79
516,78
523,80
532,80
546,81
599,81
610,78
870,97
883,83
886,80
