"timeMillisSpent","score"
87,"0hard/-1600soft"
117,"0hard/213soft"
156,"0hard/2074soft"
179,"0hard/4100soft"
200,"0hard/2508soft"
227,"0hard/4632soft"
251,"0hard/6217soft"
272,"0hard/7673soft"
289,"0hard/6152soft"
305,"0hard/7042soft"
326,"0hard/5565soft"
345,"0hard/7111soft"
364,"-1hard/9072soft"
381,"0hard/7867soft"
395,"0hard/6354soft"
417,"0hard/8267soft"
429,"0hard/9613soft"
442,"0hard/8018soft"
458,"0hard/9357soft"
473,"0hard/8123soft"
484,"0hard/6723soft"
502,"0hard/4782soft"
515,"0hard/6016soft"
532,"0hard/8123soft"
546,"0hard/6267soft"
562,"0hard/4552soft"
578,"0hard/6723soft"
591,"0hard/8267soft"
604,"0hard/9613soft"
615,"0hard/7403soft"
628,"0hard/9045soft"
651,"0hard/7296soft"
665,"0hard/9357soft"
676,"0hard/7271soft"
686,"0hard/8915soft"
695,"0hard/7920soft"
709,"0hard/6459soft"
721,"0hard/8267soft"
731,"0hard/6723soft"
741,"0hard/8123soft"
751,"0hard/9357soft"
764,"0hard/7296soft"
777,"0hard/5580soft"
788,"0hard/6927soft"
800,"0hard/9276soft"
820,"0hard/8019soft"
833,"0hard/6713soft"
844,"0hard/7920soft"
856,"0hard/9276soft"
869,"0hard/8019soft"
887,"0hard/6140soft"
897,"0hard/4727soft"
909,"0hard/6713soft"
919,"0hard/8222soft"
929,"0hard/6354soft"
937,"0hard/8267soft"
951,"0hard/6723soft"
960,"0hard/4782soft"
972,"0hard/2837soft"
982,"0hard/4386soft"
992,"0hard/6095soft"
1002,"0hard/7950soft"
1014,"0hard/9210soft"
1028,"0hard/7490soft"
1038,"0hard/9786soft"
1046,"0hard/7608soft"
1055,"0hard/9630soft"
1065,"0hard/8222soft"
1074,"0hard/6713soft"
1082,"0hard/8019soft"
1091,"0hard/9276soft"
1100,"0hard/7220soft"
1109,"0hard/9225soft"
1118,"0hard/11070soft"
1133,"0hard/10192soft"
1141,"0hard/7950soft"
1150,"0hard/9210soft"
1158,"0hard/6903soft"
1166,"0hard/9225soft"
1174,"0hard/10278soft"
1183,"0hard/8509soft"
1195,"0hard/7946soft"
1209,"0hard/6166soft"
1219,"0hard/7617soft"
1227,"0hard/5918soft"
1237,"0hard/7950soft"
1247,"0hard/9210soft"
1258,"0hard/7180soft"
1266,"0hard/8758soft"
1275,"0hard/6440soft"
1285,"0hard/8501soft"
1293,"0hard/6792soft"
1304,"0hard/7927soft"
1314,"0hard/9180soft"
1321,"0hard/7268soft"
1330,"0hard/9473soft"
1338,"0hard/7569soft"
1346,"0hard/9899soft"
1354,"0hard/8223soft"
1362,"0hard/6352soft"
1370,"0hard/5154soft"
1379,"0hard/3795soft"
1388,"0hard/5555soft"
1397,"0hard/6590soft"
1406,"0hard/8806soft"
1415,"0hard/10278soft"
1429,"0hard/9390soft"
1439,"0hard/7946soft"
1448,"0hard/5912soft"
1457,"0hard/3788soft"
1466,"0hard/5876soft"
1477,"0hard/7946soft"
1485,"0hard/5800soft"
1494,"0hard/7296soft"
1504,"0hard/7962soft"
1517,"0hard/6166soft"
1526,"0hard/7235soft"
1535,"0hard/5662soft"
1547,"0hard/7632soft"
1556,"0hard/6024soft"
1565,"0hard/4062soft"
1575,"0hard/5458soft"
1585,"0hard/4501soft"
1594,"0hard/2905soft"
1605,"0hard/2040soft"
1614,"0hard/3725soft"
1625,"0hard/4552soft"
1634,"0hard/6660soft"
1643,"0hard/8367soft"
1654,"0hard/7078soft"
1663,"0hard/9390soft"
1671,"0hard/10278soft"
1681,"0hard/9225soft"
1693,"0hard/11070soft"
1701,"0hard/8892soft"
1711,"0hard/7309soft"
1722,"0hard/9557soft"
1735,"0hard/11070soft"
1742,"0hard/9786soft"
1752,"0hard/7674soft"
1762,"0hard/5881soft"
1770,"0hard/8018soft"
1784,"0hard/9613soft"
1794,"0hard/8267soft"
1802,"0hard/6723soft"
1817,"0hard/8018soft"
1825,"0hard/5881soft"
1833,"0hard/7166soft"
1841,"0hard/8121soft"
1849,"0hard/7089soft"
1859,"0hard/5881soft"
1869,"0hard/7490soft"
1878,"0hard/8822soft"
1888,"0hard/7220soft"
1896,"0hard/9357soft"
1906,"0hard/8123soft"
1916,"0hard/6723soft"
1926,"0hard/8267soft"
1934,"0hard/6354soft"
1945,"0hard/4231soft"
1953,"0hard/5918soft"
1962,"0hard/7950soft"
1970,"0hard/6095soft"
1979,"0hard/7600soft"
1988,"0hard/8758soft"
1996,"0hard/7180soft"
2006,"0hard/6095soft"
2016,"0hard/7950soft"
2028,"0hard/6130soft"
2037,"0hard/8135soft"
2045,"0hard/10192soft"
2052,"0hard/7836soft"
2060,"0hard/6364soft"
2068,"0hard/7674soft"
2076,"0hard/5881soft"
2085,"0hard/7220soft"
2093,"0hard/9557soft"
2101,"0hard/11070soft"
2108,"0hard/10192soft"
2117,"0hard/7747soft"
2125,"0hard/5952soft"
2134,"0hard/8135soft"
2142,"0hard/9786soft"
2150,"0hard/7674soft"
2159,"0hard/9557soft"
2168,"0hard/7310soft"
2177,"0hard/5833soft"
2189,"0hard/7674soft"
2202,"0hard/6364soft"
2215,"0hard/7836soft"
2224,"0hard/10192soft"
2233,"0hard/11070soft"
2241,"0hard/9557soft"
2248,"0hard/7310soft"
2256,"0hard/5821soft"
2265,"0hard/7780soft"
2272,"0hard/5806soft"
2282,"0hard/7747soft"
2289,"0hard/10192soft"
2298,"0hard/11070soft"
2307,"0hard/9786soft"
2317,"0hard/7674soft"
2328,"0hard/5500soft"
2343,"0hard/4695soft"
2352,"0hard/6152soft"
2360,"0hard/8135soft"
2370,"0hard/9786soft"
2378,"0hard/7674soft"
2388,"0hard/6364soft"
2396,"0hard/8135soft"
2404,"0hard/10192soft"
2412,"0hard/7747soft"
2420,"0hard/5806soft"
2431,"0hard/7780soft"
2439,"0hard/10192soft"
2447,"0hard/11070soft"
2454,"0hard/9557soft"
2462,"0hard/7674soft"
2471,"0hard/6364soft"
2481,"0hard/8135soft"
2491,"0hard/5952soft"
2499,"0hard/7747soft"
2507,"0hard/10192soft"
2518,"0hard/11070soft"
2527,"0hard/9225soft"
2536,"0hard/10278soft"
2543,"0hard/8806soft"
2551,"0hard/6620soft"
2562,"0hard/7612soft"
2571,"0hard/6234soft"
2582,"0hard/8223soft"
2590,"0hard/6352soft"
2601,"0hard/5154soft"
2610,"0hard/6590soft"
2622,"0hard/7235soft"
2631,"0hard/5662soft"
2640,"0hard/7632soft"
2649,"0hard/6620soft"
2660,"0hard/8367soft"
2668,"0hard/9562soft"
2676,"0hard/7703soft"
2686,"0hard/6234soft"
2695,"0hard/8223soft"
2703,"0hard/5921soft"
2715,"0hard/4953soft"
2725,"0hard/3750soft"
2736,"0hard/5640soft"
2744,"0hard/4165soft"
2753,"0hard/5831soft"
2762,"0hard/6688soft"
2770,"0hard/4764soft"
2780,"0hard/3759soft"
2789,"0hard/5520soft"
2797,"0hard/7829soft"
2807,"0hard/9168soft"
2815,"0hard/7848soft"
2823,"0hard/8697soft"
2833,"0hard/9867soft"
2841,"0hard/7901soft"
2848,"0hard/9180soft"
2856,"0hard/7927soft"
2863,"0hard/7229soft"
2872,"0hard/5711soft"
2881,"0hard/6629soft"
2889,"0hard/8697soft"
2897,"0hard/7848soft"
2905,"0hard/5640soft"
