"timeMillisSpent","score"
81,"0hard/-1329soft"
115,"0hard/660soft"
142,"0hard/2416soft"
169,"0hard/3505soft"
196,"0hard/5556soft"
226,"0hard/7403soft"
257,"0hard/9613soft"
307,"0hard/8018soft"
336,"0hard/6723soft"
384,"0hard/4552soft"
407,"0hard/6267soft"
437,"0hard/4010soft"
450,"0hard/5371soft"
468,"0hard/5910soft"
482,"0hard/6441soft"
497,"0hard/5513soft"
508,"0hard/7083soft"
521,"-1hard/9282soft"
535,"-1hard/11489soft"
550,"-1hard/9318soft"
563,"-1hard/8131soft"
574,"-1hard/9334soft"
591,"-1hard/7632soft"
601,"0hard/6194soft"
615,"0hard/4257soft"
633,"0hard/2496soft"
647,"0hard/4764soft"
665,"0hard/3759soft"
685,"0hard/4948soft"
699,"0hard/5720soft"
717,"0hard/4855soft"
738,"0hard/6610soft"
751,"0hard/7901soft"
767,"0hard/6629soft"
784,"0hard/5334soft"
796,"0hard/7377soft"
808,"0hard/9786soft"
817,"0hard/8135soft"
837,"0hard/6339soft"
851,"0hard/4840soft"
865,"0hard/2936soft"
895,"0hard/4179soft"
912,"0hard/5078soft"
945,"0hard/3269soft"
966,"0hard/4893soft"
985,"0hard/6897soft"
1001,"0hard/5485soft"
1014,"0hard/4572soft"
1047,"0hard/6339soft"
1058,"0hard/8135soft"
1076,"0hard/10192soft"
1085,"0hard/8031soft"
1096,"0hard/9072soft"
1109,"0hard/10298soft"
1121,"0hard/8556soft"
1130,"0hard/7083soft"
1147,"0hard/4913soft"
1162,"0hard/7141soft"
1172,"0hard/5783soft"
1186,"0hard/7920soft"
1209,"0hard/9630soft"
1232,"0hard/8222soft"
1248,"0hard/6354soft"
1259,"0hard/8267soft"
1276,"0hard/6460soft"
1286,"0hard/8169soft"
1297,"0hard/9045soft"
1308,"0hard/6922soft"
1319,"0hard/8758soft"
1328,"0hard/6610soft"
1345,"0hard/5010soft"
1359,"0hard/6828soft"
1377,"0hard/4650soft"
1393,"0hard/3749soft"
1405,"0hard/5584soft"
1421,"0hard/4037soft"
1437,"0hard/5783soft"
1446,"0hard/7920soft"
1456,"0hard/8915soft"
1471,"0hard/7457soft"
1482,"0hard/5418soft"
1490,"0hard/6642soft"
1503,"0hard/4628soft"
1513,"0hard/6440soft"
1522,"0hard/8240soft"
1544,"0hard/7128soft"
1566,"0hard/5562soft"
1577,"0hard/6781soft"
1594,"0hard/5412soft"
1603,"0hard/7547soft"
1618,"0hard/5703soft"
1626,"0hard/7600soft"
1634,"0hard/8758soft"
1653,"-1hard/10790soft"
1660,"-1hard/8098soft"
1670,"0hard/6192soft"
1680,"0hard/3711soft"
1694,"0hard/5796soft"
1708,"0hard/3885soft"
1723,"0hard/2680soft"
1734,"0hard/4572soft"
1749,"0hard/6420soft"
1766,"0hard/5642soft"
1779,"0hard/4629soft"
1791,"0hard/2521soft"
1805,"0hard/4087soft"
1835,"0hard/6152soft"
1850,"0hard/7867soft"
1861,"0hard/9186soft"
1883,"0hard/7306soft"
1895,"0hard/5722soft"
1905,"0hard/6811soft"
1921,"0hard/5157soft"
1939,"0hard/3225soft"
1951,"0hard/5199soft"
1965,"0hard/6747soft"
1982,"0hard/5610soft"
1997,"0hard/6339soft"
2014,"0hard/8806soft"
2025,"0hard/10278soft"
