"timeMillisSpent","mutationCount"
126,0
190,75
262,76
327,77
401,78
483,79
551,81
635,83
715,78
816,81
909,80
1150,89
1274,86
1348,89
1539,91
1616,88
1724,89
1809,91
1848,91
1861,90
1911,91
2255,99
2311,96
2336,89
2360,90
