"timeMillisSpent","score"
126,"0hard/-1427soft"
190,"0hard/616soft"
262,"0hard/2297soft"
327,"0hard/3859soft"
401,"0hard/6149soft"
483,"0hard/8283soft"
551,"0hard/9904soft"
635,"0hard/10220soft"
715,"0hard/11386soft"
816,"0hard/12491soft"
909,"0hard/12546soft"
1150,"0hard/14998soft"
1274,"0hard/15270soft"
1348,"0hard/15329soft"
1539,"0hard/16774soft"
1616,"0hard/17117soft"
1724,"0hard/18372soft"
1809,"0hard/18522soft"
1848,"0hard/19445soft"
1861,"0hard/19870soft"
1911,"0hard/21728soft"
2255,"0hard/22096soft"
2311,"0hard/22242soft"
2336,"0hard/22260soft"
2360,"0hard/22377soft"
