"timeMillisSpent","score"
120,"0hard/-1225soft"
178,"0hard/927soft"
219,"0hard/2467soft"
268,"0hard/4718soft"
320,"0hard/6637soft"
368,"0hard/8640soft"
417,"0hard/9839soft"
474,"0hard/8604soft"
546,"0hard/9469soft"
618,"0hard/7317soft"
656,"0hard/8420soft"
692,"0hard/6286soft"
728,"0hard/8525soft"
754,"0hard/7492soft"
787,"0hard/6338soft"
812,"0hard/7496soft"
843,"0hard/6272soft"
875,"0hard/7293soft"
921,"0hard/8309soft"
955,"0hard/6701soft"
980,"0hard/8168soft"
1005,"0hard/6334soft"
1032,"0hard/7444soft"
1061,"0hard/6015soft"
1088,"0hard/7759soft"
1111,"0hard/10435soft"
1131,"0hard/9329soft"
1177,"0hard/7250soft"
1205,"0hard/8937soft"
1249,"0hard/7293soft"
1277,"0hard/9078soft"
1304,"0hard/10131soft"
1332,"0hard/8310soft"
1358,"0hard/7357soft"
1378,"0hard/8561soft"
1396,"0hard/7217soft"
1419,"0hard/9824soft"
1463,"0hard/8682soft"
1501,"0hard/6532soft"
1524,"0hard/6264soft"
1567,"0hard/4624soft"
1598,"0hard/6485soft"
1624,"0hard/7542soft"
1643,"0hard/6743soft"
1670,"0hard/7280soft"
1691,"0hard/7142soft"
1716,"0hard/7161soft"
1738,"0hard/6025soft"
1768,"0hard/4604soft"
1796,"0hard/6668soft"
1819,"0hard/6039soft"
1846,"0hard/7236soft"
1864,"0hard/8531soft"
1890,"0hard/7139soft"
1923,"0hard/8334soft"
1965,"0hard/6012soft"
1992,"0hard/7041soft"
2015,"0hard/5826soft"
2038,"0hard/7041soft"
2059,"0hard/5714soft"
2085,"0hard/7466soft"
2122,"0hard/6070soft"
2145,"0hard/7980soft"
2181,"0hard/7070soft"
2203,"0hard/8667soft"
2225,"0hard/7611soft"
2253,"0hard/7298soft"
2279,"0hard/8837soft"
2304,"0hard/6765soft"
2330,"0hard/8418soft"
2352,"0hard/9559soft"
2373,"0hard/7841soft"
2402,"0hard/5899soft"
2425,"0hard/7752soft"
2441,"0hard/9156soft"
2462,"0hard/7995soft"
2496,"0hard/6400soft"
2514,"0hard/8622soft"
2543,"0hard/8342soft"
2582,"0hard/6740soft"
2604,"0hard/8780soft"
2627,"0hard/9823soft"
2652,"0hard/8119soft"
2682,"0hard/6344soft"
2704,"0hard/8487soft"
2744,"0hard/10156soft"
2760,"0hard/9033soft"
2781,"0hard/7997soft"
2803,"0hard/9824soft"
2830,"0hard/9006soft"
2864,"0hard/7484soft"
2883,"0hard/8682soft"
2916,"0hard/6490soft"
2947,"0hard/8650soft"
2980,"0hard/9751soft"
2997,"0hard/7576soft"
3022,"0hard/7086soft"
3040,"0hard/6263soft"
3062,"0hard/7925soft"
3080,"0hard/9052soft"
3107,"0hard/7906soft"
3126,"0hard/6740soft"
3147,"0hard/8342soft"
3169,"0hard/6796soft"
3198,"0hard/8531soft"
3227,"0hard/7236soft"
3260,"0hard/8442soft"
3278,"0hard/10731soft"
3297,"0hard/8209soft"
3317,"0hard/10368soft"
3346,"0hard/9136soft"
3384,"0hard/10944soft"
3408,"0hard/10072soft"
3425,"0hard/8319soft"
3447,"0hard/7484soft"
3466,"0hard/9006soft"
3496,"0hard/6753soft"
3521,"0hard/7545soft"
3543,"0hard/8605soft"
3585,"0hard/6527soft"
3618,"0hard/6797soft"
3654,"0hard/5511soft"
3675,"0hard/7113soft"
3710,"0hard/6367soft"
3731,"0hard/7835soft"
3756,"0hard/6949soft"
3777,"0hard/8530soft"
3797,"0hard/7433soft"
3823,"0hard/5495soft"
3859,"0hard/6180soft"
3880,"0hard/5738soft"
3906,"0hard/7876soft"
3936,"0hard/8395soft"
3981,"0hard/7045soft"
4004,"0hard/9518soft"
4025,"0hard/10705soft"
4063,"0hard/8611soft"
4084,"0hard/10731soft"
4104,"0hard/10876soft"
4130,"0hard/12500soft"
4154,"0hard/11268soft"
4186,"0hard/9006soft"
4205,"0hard/9824soft"
4222,"0hard/7707soft"
4242,"0hard/6262soft"
4270,"0hard/7372soft"
4289,"0hard/5527soft"
4321,"0hard/6887soft"
4353,"0hard/8148soft"
4380,"0hard/5971soft"
4401,"0hard/7739soft"
4427,"0hard/6246soft"
4454,"0hard/8737soft"
4477,"0hard/7643soft"
4505,"0hard/8420soft"
4524,"0hard/7412soft"
4560,"0hard/9348soft"
4593,"0hard/7305soft"
4616,"0hard/8709soft"
4637,"0hard/7761soft"
4664,"0hard/9759soft"
4681,"0hard/10771soft"
4707,"0hard/9596soft"
4738,"0hard/8211soft"
4772,"0hard/10876soft"
4803,"0hard/11013soft"
4821,"0hard/9741soft"
4838,"0hard/7250soft"
4859,"0hard/8937soft"
4891,"0hard/7293soft"
4921,"0hard/6180soft"
4956,"0hard/7204soft"
4982,"0hard/5176soft"
5001,"0hard/6286soft"
5029,"0hard/7804soft"
5054,"0hard/6437soft"
5082,"0hard/6735soft"
5118,"0hard/6012soft"
5139,"0hard/8209soft"
5160,"0hard/7158soft"
5189,"0hard/9146soft"
5211,"0hard/9164soft"
5244,"0hard/7482soft"
5279,"0hard/8682soft"
5296,"0hard/9824soft"
5318,"0hard/7461soft"
5343,"0hard/9448soft"
5375,"0hard/7572soft"
5393,"0hard/7980soft"
5414,"0hard/7070soft"
5436,"0hard/9136soft"
5466,"0hard/10748soft"
5509,"0hard/9791soft"
5543,"0hard/8923soft"
5578,"0hard/6911soft"
5597,"0hard/7063soft"
5631,"0hard/5570soft"
5665,"0hard/3948soft"
5686,"0hard/6008soft"
5710,"0hard/8262soft"
5731,"0hard/9384soft"
5764,"0hard/8211soft"
5808,"0hard/9237soft"
5825,"0hard/10944soft"
5842,"0hard/9266soft"
5859,"0hard/10841soft"
5884,"0hard/8730soft"
5913,"0hard/7707soft"
5934,"0hard/8817soft"
5955,"0hard/7124soft"
5988,"0hard/8780soft"
6016,"0hard/7078soft"
6050,"0hard/9303soft"
6074,"0hard/10313soft"
6105,"0hard/8455soft"
6123,"0hard/6578soft"
6157,"0hard/7812soft"
6174,"0hard/5656soft"
6197,"0hard/8603soft"
6228,"0hard/6559soft"
6246,"0hard/7531soft"
6273,"0hard/6392soft"
6296,"0hard/6952soft"
6314,"0hard/5976soft"
6340,"0hard/4252soft"
6358,"0hard/5511soft"
6377,"0hard/4256soft"
6411,"0hard/5820soft"
6434,"0hard/7113soft"
6451,"0hard/6367soft"
6481,"0hard/8541soft"
6518,"0hard/6382soft"
6544,"0hard/8095soft"
6570,"0hard/7186soft"
6597,"0hard/4953soft"
6631,"0hard/6156soft"
6654,"0hard/4726soft"
6678,"0hard/5977soft"
6710,"0hard/7715soft"
6746,"0hard/6174soft"
6768,"0hard/8248soft"
6792,"0hard/6622soft"
6825,"0hard/9146soft"
6851,"0hard/9164soft"
6885,"0hard/7482soft"
6909,"0hard/9694soft"
6939,"0hard/9741soft"
6968,"0hard/11013soft"
6983,"0hard/8442soft"
7014,"0hard/9657soft"
7045,"0hard/7698soft"
7067,"0hard/6052soft"
7097,"0hard/7451soft"
7129,"0hard/6252soft"
7148,"0hard/4481soft"
7178,"0hard/6607soft"
7208,"0hard/5393soft"
7236,"0hard/7671soft"
7256,"0hard/6656soft"
7274,"0hard/8193soft"
7311,"0hard/6741soft"
7339,"0hard/8923soft"
7361,"0hard/11268soft"
7383,"0hard/8692soft"
7401,"0hard/8532soft"
7447,"0hard/7250soft"
7482,"0hard/8339soft"
7513,"0hard/10435soft"
7537,"0hard/8157soft"
7565,"0hard/6107soft"
7582,"0hard/7498soft"
7610,"0hard/6443soft"
7637,"0hard/8168soft"
7655,"0hard/7102soft"
7685,"0hard/5482soft"
7725,"0hard/7660soft"
7753,"0hard/5199soft"
7803,"0hard/6880soft"
7850,"0hard/5523soft"
7872,"0hard/7182soft"
7901,"0hard/8332soft"
7926,"0hard/6000soft"
