"timeMillisSpent","score"
89,"0hard/-1646soft"
120,"0hard/738soft"
146,"0hard/2081soft"
173,"0hard/3564soft"
193,"0hard/5488soft"
218,"0hard/8198soft"
236,"0hard/9869soft"
268,"0hard/11680soft"
305,"0hard/12130soft"
332,"0hard/13047soft"
346,"0hard/13518soft"
365,"0hard/14328soft"
391,"0hard/16181soft"
405,"0hard/16414soft"
442,"0hard/17528soft"
492,"0hard/17654soft"
505,"0hard/18847soft"
517,"0hard/18896soft"
526,"0hard/18985soft"
632,"0hard/19860soft"
649,"0hard/19878soft"
676,"0hard/19911soft"
922,"0hard/20280soft"
5170,"0hard/20344soft"
5176,"0hard/20642soft"
6005,"0hard/21527soft"
30120,"0hard/21564soft"
37391,"0hard/21577soft"
