"timeMillisSpent","score"
90,"0hard/-1646soft"
120,"0hard/738soft"
146,"0hard/2081soft"
173,"0hard/3564soft"
193,"0hard/5488soft"
218,"0hard/8198soft"
236,"0hard/9869soft"
269,"0hard/11680soft"
305,"0hard/12130soft"
332,"0hard/13047soft"
346,"0hard/13518soft"
365,"0hard/14328soft"
379,"0hard/14328soft"
391,"0hard/16181soft"
405,"0hard/16414soft"
423,"0hard/16366soft"
442,"0hard/17528soft"
458,"0hard/17359soft"
467,"0hard/17449soft"
480,"0hard/15983soft"
492,"0hard/17654soft"
505,"0hard/18847soft"
518,"0hard/18896soft"
527,"0hard/18985soft"
535,"0hard/18502soft"
545,"0hard/18250soft"
562,"0hard/18149soft"
579,"0hard/18461soft"
588,"0hard/17929soft"
599,"0hard/18331soft"
610,"0hard/18353soft"
622,"0hard/18470soft"
632,"0hard/19860soft"
649,"0hard/19878soft"
657,"0hard/19683soft"
665,"0hard/19743soft"
676,"0hard/19911soft"
687,"0hard/19911soft"
706,"0hard/19313soft"
717,"0hard/19313soft"
729,"0hard/19436soft"
740,"0hard/19118soft"
749,"0hard/19655soft"
758,"0hard/19570soft"
770,"0hard/19118soft"
777,"0hard/19105soft"
787,"0hard/19017soft"
802,"0hard/19374soft"
809,"0hard/19130soft"
825,"0hard/19114soft"
838,"0hard/18992soft"
845,"0hard/19387soft"
863,"0hard/18927soft"
874,"0hard/17815soft"
885,"0hard/18066soft"
893,"0hard/18078soft"
907,"0hard/19051soft"
914,"0hard/19052soft"
922,"0hard/20280soft"
932,"0hard/20258soft"
942,"0hard/19803soft"
950,"0hard/18579soft"
957,"0hard/18620soft"
967,"0hard/18593soft"
978,"0hard/18593soft"
989,"0hard/18822soft"
1002,"0hard/18932soft"
1018,"0hard/17266soft"
1024,"0hard/18665soft"
1033,"0hard/18593soft"
1043,"-1hard/18636soft"
1051,"-1hard/18635soft"
1060,"0hard/17241soft"
1067,"0hard/17341soft"
1077,"0hard/17313soft"
1087,"0hard/17385soft"
1101,"0hard/15393soft"
1118,"0hard/15504soft"
1126,"0hard/13482soft"
1134,"0hard/13447soft"
1141,"0hard/13500soft"
1149,"0hard/15036soft"
1157,"0hard/15038soft"
1168,"0hard/14346soft"
1181,"0hard/14952soft"
1190,"0hard/14653soft"
1197,"0hard/15505soft"
1214,"0hard/15233soft"
1226,"0hard/15843soft"
1243,"0hard/15654soft"
1251,"0hard/16146soft"
1261,"0hard/15600soft"
1272,"0hard/16986soft"
1283,"0hard/17925soft"
1290,"0hard/18435soft"
1302,"0hard/18371soft"
1310,"0hard/17031soft"
1316,"0hard/18189soft"
1323,"0hard/18226soft"
1330,"0hard/18564soft"
1336,"0hard/17517soft"
1348,"0hard/17722soft"
1354,"0hard/17722soft"
1360,"0hard/17975soft"
1366,"0hard/18113soft"
1374,"0hard/18168soft"
1382,"0hard/18043soft"
1393,"0hard/18159soft"
1403,"0hard/17948soft"
1408,"0hard/17797soft"
1416,"0hard/17712soft"
1426,"0hard/16046soft"
1432,"0hard/16661soft"
1442,"0hard/17093soft"
1451,"0hard/16549soft"
1463,"0hard/17882soft"
1473,"0hard/18002soft"
1485,"0hard/19252soft"
1493,"0hard/19649soft"
1500,"0hard/19827soft"
1509,"0hard/20003soft"
1515,"0hard/20038soft"
1521,"0hard/20075soft"
1532,"0hard/18175soft"
1539,"0hard/18369soft"
1546,"0hard/17862soft"
1559,"0hard/17783soft"
1566,"0hard/17299soft"
1575,"0hard/19378soft"
1586,"0hard/19525soft"
1595,"0hard/17102soft"
1602,"0hard/18433soft"
1608,"0hard/17711soft"
1620,"0hard/17636soft"
1626,"0hard/17639soft"
1631,"0hard/17916soft"
1637,"0hard/17543soft"
1643,"0hard/17747soft"
1651,"0hard/17478soft"
1657,"0hard/17640soft"
1672,"0hard/19969soft"
1681,"0hard/18737soft"
1688,"0hard/18784soft"
1694,"0hard/19033soft"
1700,"0hard/18290soft"
1706,"0hard/18290soft"
1713,"0hard/18476soft"
1721,"0hard/18362soft"
1726,"0hard/17348soft"
1731,"0hard/17348soft"
1737,"0hard/17505soft"
1746,"0hard/17238soft"
1754,"0hard/17415soft"
1760,"0hard/18007soft"
1766,"-1hard/19784soft"
1774,"-1hard/20016soft"
1781,"-1hard/19625soft"
1790,"-1hard/19377soft"
1803,"0hard/17522soft"
1812,"0hard/16487soft"
1824,"0hard/16069soft"
1836,"-1hard/16756soft"
1854,"-1hard/16756soft"
1864,"-1hard/18381soft"
1870,"0hard/17072soft"
1876,"0hard/18345soft"
1883,"-1hard/16029soft"
1889,"0hard/15937soft"
1896,"0hard/15861soft"
1903,"0hard/15763soft"
1909,"0hard/16218soft"
1915,"0hard/16894soft"
1921,"0hard/18665soft"
1929,"0hard/18712soft"
1935,"0hard/19829soft"
1940,"0hard/19483soft"
1947,"0hard/19601soft"
1954,"0hard/19601soft"
1964,"0hard/20050soft"
1970,"0hard/19675soft"
1976,"0hard/18310soft"
1981,"0hard/18477soft"
1990,"0hard/18462soft"
1997,"0hard/16390soft"
2003,"0hard/15990soft"
2009,"0hard/15990soft"
2015,"0hard/17788soft"
2020,"0hard/17535soft"
2026,"0hard/17241soft"
2033,"0hard/16781soft"
2039,"0hard/16773soft"
2044,"0hard/16940soft"
2050,"0hard/16748soft"
2057,"0hard/17009soft"
2064,"0hard/18056soft"
2073,"0hard/16538soft"
2079,"0hard/16501soft"
2085,"0hard/16575soft"
2091,"0hard/16558soft"
2099,"0hard/16404soft"
2105,"0hard/18461soft"
2110,"0hard/18744soft"
2117,"0hard/17610soft"
2124,"0hard/17227soft"
2129,"0hard/17892soft"
2134,"0hard/18194soft"
2139,"0hard/17930soft"
2147,"0hard/19437soft"
2152,"0hard/19911soft"
2158,"0hard/19696soft"
2167,"0hard/19805soft"
2177,"0hard/19805soft"
2182,"0hard/19805soft"
2189,"0hard/19640soft"
2200,"0hard/20127soft"
2209,"0hard/18947soft"
2216,"0hard/18782soft"
2222,"0hard/18730soft"
2227,"0hard/16823soft"
2233,"0hard/17959soft"
2239,"0hard/16557soft"
2250,"0hard/16585soft"
2258,"0hard/16836soft"
2264,"0hard/17920soft"
2271,"0hard/17686soft"
2278,"0hard/17792soft"
2286,"0hard/18030soft"
2295,"0hard/20160soft"
2302,"0hard/20077soft"
2308,"0hard/20043soft"
2314,"0hard/19643soft"
2323,"0hard/19624soft"
2329,"0hard/18440soft"
2337,"0hard/18618soft"
2343,"0hard/18478soft"
2349,"0hard/19441soft"
2359,"0hard/19478soft"
2364,"0hard/19433soft"
2371,"0hard/19047soft"
2378,"0hard/17556soft"
2389,"0hard/17031soft"
2399,"0hard/17545soft"
2404,"0hard/18119soft"
2409,"0hard/18157soft"
2415,"0hard/18258soft"
2428,"0hard/19454soft"
2433,"0hard/19458soft"
2443,"0hard/19671soft"
2453,"0hard/19309soft"
2465,"0hard/19617soft"
2473,"0hard/19760soft"
2480,"0hard/19677soft"
2486,"0hard/19857soft"
2494,"0hard/19772soft"
2500,"0hard/18115soft"
2510,"0hard/16757soft"
2521,"0hard/17395soft"
2529,"0hard/17087soft"
2537,"0hard/17135soft"
2544,"0hard/15578soft"
2554,"0hard/14953soft"
2563,"0hard/15469soft"
2571,"0hard/16561soft"
2583,"0hard/16356soft"
2592,"0hard/16647soft"
2597,"0hard/16819soft"
2602,"0hard/16835soft"
2612,"0hard/17596soft"
2621,"0hard/17792soft"
2628,"0hard/17601soft"
2636,"0hard/18106soft"
2642,"0hard/17811soft"
2649,"0hard/18295soft"
2657,"0hard/18078soft"
2666,"0hard/18022soft"
2672,"0hard/15998soft"
2683,"0hard/15976soft"
2692,"0hard/16247soft"
2699,"0hard/16150soft"
2708,"0hard/17758soft"
2719,"0hard/17738soft"
2727,"0hard/15883soft"
2736,"0hard/16247soft"
2743,"0hard/16394soft"
2752,"0hard/16696soft"
2758,"0hard/16621soft"
2763,"0hard/16501soft"
2771,"0hard/16901soft"
2783,"0hard/17508soft"
2794,"0hard/17510soft"
2804,"0hard/17501soft"
2811,"0hard/15071soft"
2816,"0hard/14295soft"
2826,"0hard/12647soft"
2833,"0hard/13412soft"
2841,"0hard/13412soft"
2849,"0hard/13482soft"
2856,"0hard/11831soft"
2866,"0hard/11831soft"
2879,"0hard/12200soft"
2887,"0hard/14047soft"
2900,"0hard/15295soft"
2911,"0hard/15295soft"
2918,"0hard/15185soft"
2924,"0hard/17213soft"
2931,"0hard/15026soft"
2937,"0hard/13374soft"
2942,"0hard/14835soft"
2947,"0hard/15210soft"
2953,"0hard/15639soft"
2958,"0hard/15192soft"
2967,"0hard/15579soft"
2972,"0hard/14145soft"
2980,"0hard/15712soft"
2986,"0hard/15818soft"
2995,"0hard/15757soft"
3004,"0hard/15541soft"
3011,"0hard/18141soft"
3020,"0hard/19672soft"
3026,"0hard/19635soft"
3031,"0hard/19843soft"
3037,"0hard/18272soft"
3044,"0hard/19843soft"
3053,"0hard/19589soft"
3061,"0hard/19609soft"
3067,"0hard/19873soft"
3075,"0hard/17824soft"
3082,"0hard/18320soft"
3091,"0hard/18320soft"
3101,"0hard/18641soft"
3113,"0hard/18412soft"
3121,"0hard/18225soft"
3129,"0hard/18483soft"
3140,"0hard/18375soft"
3149,"0hard/18470soft"
3161,"0hard/18113soft"
3168,"0hard/18022soft"
3173,"0hard/18101soft"
3181,"0hard/18208soft"
3188,"0hard/18903soft"
3196,"0hard/18795soft"
3204,"0hard/18504soft"
3210,"0hard/17926soft"
3215,"0hard/19003soft"
3224,"0hard/19381soft"
3230,"0hard/19486soft"
3235,"0hard/18975soft"
3241,"0hard/18899soft"
3245,"0hard/19669soft"
