"timeMillisSpent","score"
970,"0hard/-1226soft"
1624,"0hard/971soft"
2252,"0hard/3124soft"
2848,"0hard/4840soft"
3458,"0hard/6364soft"
3992,"0hard/8135soft"
4507,"0hard/10192soft"
5000,"0hard/11070soft"
5476,"0hard/9786soft"
5964,"0hard/8135soft"
6463,"0hard/10192soft"
6966,"0hard/11070soft"
7442,"0hard/9786soft"
7911,"0hard/8135soft"
8432,"0hard/10192soft"
8930,"0hard/11070soft"
9409,"0hard/9786soft"
9883,"0hard/8135soft"
10380,"0hard/10192soft"
10875,"0hard/11070soft"
11374,"0hard/9786soft"
11869,"0hard/8135soft"
12398,"0hard/10192soft"
12990,"0hard/11070soft"
13463,"0hard/9786soft"
13953,"0hard/8135soft"
14489,"0hard/10192soft"
14979,"0hard/11070soft"
15454,"0hard/9786soft"
15924,"0hard/8135soft"
16408,"0hard/10192soft"
16958,"0hard/11070soft"
17453,"0hard/9786soft"
17946,"0hard/8135soft"
18453,"0hard/10192soft"
18938,"0hard/11070soft"
19450,"0hard/9786soft"
19915,"0hard/8135soft"
20429,"0hard/10192soft"
20927,"0hard/11070soft"
21395,"0hard/9786soft"
21856,"0hard/8135soft"
22350,"0hard/10192soft"
22828,"0hard/11070soft"
23314,"0hard/9786soft"
23795,"0hard/8135soft"
24323,"0hard/10192soft"
24834,"0hard/11070soft"
25314,"0hard/9786soft"
25762,"0hard/8135soft"
26290,"0hard/10192soft"
26781,"0hard/11070soft"
27258,"0hard/9786soft"
27742,"0hard/8135soft"
28272,"0hard/10192soft"
28772,"0hard/11070soft"
29257,"0hard/9786soft"
29757,"0hard/8135soft"
30002,"0hard/10192soft"
