"timeMillisSpent","mutationCount"
63,0
97,71
118,73
152,72
179,76
217,76
251,76
289,77
379,79
389,79
411,78
490,78
500,79
527,78
552,83
604,82
656,81
714,84
833,85
872,83
924,83
975,89
985,83
992,83
