"timeMillisSpent","score"
63,"0hard/-1704soft"
97,"0hard/224soft"
118,"0hard/1960soft"
152,"0hard/3981soft"
179,"0hard/6395soft"
217,"0hard/8148soft"
251,"0hard/10557soft"
289,"0hard/11700soft"
379,"0hard/12433soft"
389,"0hard/12772soft"
411,"0hard/12892soft"
490,"0hard/13679soft"
500,"0hard/14015soft"
527,"0hard/14139soft"
552,"0hard/15149soft"
604,"0hard/16824soft"
656,"0hard/17302soft"
714,"0hard/18210soft"
833,"0hard/19336soft"
872,"0hard/19582soft"
924,"0hard/19657soft"
975,"0hard/19674soft"
985,"0hard/19962soft"
992,"0hard/20058soft"
