"timeMillisSpent","mutationCount"
80,0
115,72
142,73
170,74
208,75
249,78
297,77
337,77
426,79
441,80
493,80
530,80
546,80
643,85
828,94
844,78
990,92
1003,78
1012,80
1814,84
1827,81
1950,88
1960,79
1977,78
1986,77
2816,83
3992,84
9093,96
9104,78
9158,79
