"timeMillisSpent","score"
81,"0hard/-1646soft"
115,"0hard/738soft"
142,"0hard/2538soft"
171,"0hard/4724soft"
208,"0hard/6594soft"
249,"0hard/8839soft"
297,"0hard/10557soft"
337,"0hard/11700soft"
426,"0hard/12433soft"
441,"0hard/13109soft"
493,"0hard/13167soft"
531,"0hard/14350soft"
546,"0hard/14370soft"
571,"0hard/14149soft"
597,"0hard/13595soft"
627,"0hard/14002soft"
643,"0hard/15092soft"
671,"0hard/13761soft"
703,"0hard/14102soft"
721,"0hard/14686soft"
742,"0hard/14169soft"
761,"0hard/14043soft"
779,"0hard/13855soft"
804,"0hard/14090soft"
828,"0hard/15531soft"
844,"0hard/15695soft"
857,"0hard/15151soft"
870,"0hard/15151soft"
889,"0hard/15012soft"
911,"0hard/14431soft"
929,"0hard/14397soft"
946,"0hard/14598soft"
961,"0hard/14598soft"
990,"0hard/15895soft"
1003,"0hard/15943soft"
1012,"0hard/16228soft"
1024,"0hard/16009soft"
1042,"0hard/16009soft"
1062,"0hard/16024soft"
1087,"0hard/16024soft"
1116,"0hard/14237soft"
1149,"0hard/12377soft"
1182,"0hard/10916soft"
1205,"0hard/11079soft"
1245,"0hard/10850soft"
1257,"0hard/10689soft"
1270,"0hard/11684soft"
1279,"0hard/11621soft"
1293,"0hard/12201soft"
1316,"0hard/12201soft"
1349,"0hard/12159soft"
1389,"0hard/11465soft"
1419,"0hard/10499soft"
1442,"0hard/12382soft"
1467,"0hard/12486soft"
1485,"0hard/12540soft"
1498,"0hard/12731soft"
1515,"0hard/12122soft"
1532,"0hard/13839soft"
1546,"0hard/13839soft"
1558,"0hard/13374soft"
1575,"0hard/13374soft"
1588,"0hard/13035soft"
1606,"0hard/14666soft"
1653,"0hard/13458soft"
1669,"0hard/13521soft"
1688,"0hard/15827soft"
1706,"0hard/14374soft"
1716,"0hard/15064soft"
1733,"0hard/15064soft"
1747,"0hard/14978soft"
1759,"0hard/15053soft"
1782,"0hard/15460soft"
1814,"0hard/16524soft"
1827,"0hard/16759soft"
1838,"0hard/16560soft"
1856,"0hard/16453soft"
1876,"0hard/16666soft"
1894,"0hard/16666soft"
1919,"0hard/16224soft"
1933,"0hard/16605soft"
1950,"0hard/17771soft"
1960,"0hard/17838soft"
1977,"0hard/17839soft"
1986,"0hard/17886soft"
2003,"0hard/17599soft"
2022,"0hard/15752soft"
2035,"0hard/15628soft"
2048,"0hard/16176soft"
2063,"0hard/16176soft"
2075,"0hard/14776soft"
2088,"0hard/15744soft"
2101,"0hard/15525soft"
2120,"0hard/15533soft"
2148,"-1hard/15514soft"
2180,"0hard/13181soft"
2210,"-1hard/13186soft"
2241,"-1hard/13345soft"
2254,"0hard/13641soft"
2281,"0hard/13641soft"
2297,"0hard/13262soft"
2310,"0hard/13262soft"
2323,"0hard/12655soft"
2335,"0hard/12845soft"
2352,"0hard/12424soft"
2367,"0hard/12751soft"
2381,"0hard/13061soft"
2397,"0hard/12522soft"
2416,"0hard/12522soft"
2436,"0hard/12410soft"
2454,"0hard/12568soft"
2470,"0hard/12331soft"
2481,"0hard/12732soft"
2495,"0hard/12492soft"
2510,"0hard/12178soft"
2524,"0hard/12191soft"
2543,"0hard/10916soft"
2563,"0hard/12686soft"
2586,"0hard/12686soft"
2604,"0hard/12532soft"
2633,"0hard/12374soft"
2653,"0hard/14144soft"
2681,"0hard/16089soft"
2708,"0hard/16274soft"
2736,"0hard/16384soft"
2767,"0hard/16476soft"
2785,"0hard/16370soft"
2801,"0hard/17818soft"
2816,"0hard/17958soft"
2831,"0hard/17958soft"
2850,"0hard/17775soft"
2871,"0hard/16133soft"
2886,"0hard/15726soft"
2901,"0hard/15565soft"
2916,"0hard/15385soft"
2940,"0hard/15402soft"
2953,"0hard/14823soft"
2969,"0hard/13504soft"
2981,"0hard/14575soft"
2992,"0hard/15094soft"
3016,"0hard/15094soft"
3044,"0hard/15001soft"
