"timeMillisSpent","score"
340,"0hard/-3213soft"
622,"0hard/-1561soft"
1048,"0hard/47soft"
1562,"0hard/2361soft"
2204,"0hard/4331soft"
2520,"0hard/4577soft"
3214,"0hard/6514soft"
3514,"0hard/6593soft"
4259,"0hard/8860soft"
5039,"0hard/10834soft"
5842,"0hard/11438soft"
6056,"0hard/11624soft"
6532,"0hard/11755soft"
7335,"0hard/12683soft"
7750,"0hard/12750soft"
8645,"0hard/13238soft"
8819,"0hard/14347soft"
9353,"0hard/14568soft"
10011,"0hard/14796soft"
10113,"0hard/14990soft"
11477,"0hard/16078soft"
13415,"0hard/16227soft"
13510,"0hard/16519soft"
13642,"0hard/16611soft"
13809,"0hard/16735soft"
14019,"0hard/16763soft"
14258,"0hard/16768soft"
15952,"0hard/16805soft"
16116,"0hard/16955soft"
16460,"0hard/17159soft"
18692,"0hard/18072soft"
19980,"0hard/19507soft"
20040,"0hard/19580soft"
20066,"0hard/19820soft"
20254,"0hard/19940soft"
20361,"0hard/19954soft"
20472,"0hard/20218soft"
20739,"0hard/20287soft"
20833,"0hard/20303soft"
