"timeMillisSpent","mutationCount"
340,0
622,98
1048,87
1562,86
2204,99
2520,110
3214,106
3514,113
4259,97
5039,92
5842,89
6056,109
6532,99
7335,93
7750,99
8645,95
8819,109
9353,90
10011,95
10113,93
11477,105
13415,112
13510,101
13642,105
13809,107
14019,106
14258,104
15952,113
16116,104
16460,111
18692,111
19980,108
20040,103
20066,107
20254,112
20361,109
20472,110
20739,112
20833,107
