"timeMillisSpent","mutationCount"
175,0
307,75
377,75
449,78
503,82
562,86
620,84
678,86
748,87
801,85
852,87
1388,90
4226,96
4286,91
5197,92
5286,88
151801,94
151925,92
158169,98
