"timeMillisSpent","score"
43,"0hard/-3971soft"
68,"0hard/-1704soft"
90,"0hard/-304soft"
103,"0hard/-246soft"
116,"0hard/-146soft"
140,"0hard/1570soft"
148,"0hard/1960soft"
168,"0hard/3928soft"
179,"0hard/3981soft"
198,"0hard/4116soft"
225,"0hard/6124soft"
235,"0hard/6276soft"
267,"0hard/7729soft"
276,"0hard/7732soft"
283,"0hard/8311soft"
296,"0hard/8339soft"
302,"0hard/8397soft"
328,"0hard/10281soft"
333,"0hard/10297soft"
357,"0hard/11197soft"
388,"0hard/11416soft"
414,"0hard/12571soft"
446,"0hard/13151soft"
449,"0hard/13540soft"
455,"0hard/13592soft"
461,"0hard/14131soft"
471,"0hard/14348soft"
483,"0hard/14421soft"
541,"0hard/14728soft"
551,"0hard/14999soft"
820,"0hard/16217soft"
833,"0hard/16275soft"
836,"0hard/16376soft"
