"timeMillisSpent","score"
44,"0hard/-3971soft"
68,"0hard/-1704soft"
90,"0hard/-304soft"
104,"0hard/-246soft"
116,"0hard/-146soft"
140,"0hard/1570soft"
148,"0hard/1960soft"
168,"0hard/3928soft"
179,"0hard/3981soft"
198,"0hard/4116soft"
225,"0hard/6124soft"
235,"0hard/6276soft"
268,"0hard/7729soft"
277,"0hard/7732soft"
283,"0hard/8311soft"
296,"0hard/8339soft"
302,"0hard/8397soft"
329,"0hard/10281soft"
333,"0hard/10297soft"
357,"0hard/11197soft"
388,"0hard/11416soft"
415,"0hard/12571soft"
446,"0hard/13151soft"
449,"0hard/13540soft"
455,"0hard/13592soft"
461,"0hard/14131soft"
471,"0hard/14348soft"
484,"0hard/14421soft"
537,"-2hard/14719soft"
541,"0hard/14728soft"
551,"0hard/14999soft"
581,"-1hard/14713soft"
628,"-3hard/16328soft"
709,"-3hard/18696soft"
719,"-3hard/18936soft"
738,"-3hard/18838soft"
762,"-3hard/20832soft"
771,"-2hard/19229soft"
783,"-1hard/17656soft"
797,"-1hard/16971soft"
820,"0hard/16217soft"
833,"0hard/16275soft"
836,"0hard/16376soft"
841,"0hard/15461soft"
878,"0hard/12914soft"
30001,"0hard/15461soft"
