"timeMillisSpent","score"
500,"0hard/-1164soft"
856,"0hard/996soft"
1164,"0hard/3131soft"
1464,"0hard/5185soft"
1776,"0hard/7374soft"
2136,"0hard/9279soft"
2428,"0hard/11186soft"
2734,"0hard/12839soft"
3072,"0hard/14524soft"
3582,"0hard/15785soft"
4003,"0hard/17007soft"
4658,"0hard/17842soft"
5350,"0hard/17921soft"
5892,"0hard/19151soft"
7106,"-1hard/20462soft"
7865,"0hard/20311soft"
12657,"-1hard/19767soft"
13019,"0hard/21352soft"
13412,"0hard/21896soft"
13537,"0hard/22879soft"
13782,"0hard/22773soft"
14073,"0hard/22792soft"
14513,"0hard/22936soft"
14792,"0hard/23007soft"
14984,"0hard/23073soft"
15218,"0hard/23167soft"
15521,"0hard/22810soft"
15950,"0hard/22962soft"
16284,"0hard/22668soft"
16807,"0hard/22460soft"
17938,"0hard/21290soft"
19173,"0hard/21718soft"
20203,"0hard/20567soft"
21596,"-2hard/20402soft"
23359,"0hard/20167soft"
26026,"0hard/18840soft"
30003,"0hard/20167soft"
