"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
500,32,32
856,32,34
1165,32,37
1464,32,39
1776,32,42
2136,32,44
2428,32,45
2734,32,54
3072,32,67
3582,32,111
4003,32,98
4658,32,170
5350,32,198
5892,32,156
7106,32,394
7865,32,276
12657,32,1744
13019,32,150
13412,32,170
13537,32,61
13782,32,124
14073,32,146
14513,32,209
14792,32,142
14984,32,94
15218,32,104
15521,32,136
15950,32,205
16284,32,150
16807,32,263
17938,32,565
19173,32,494
20203,32,427
21596,32,519
23359,32,656
26026,32,963
30003,0,1283
