"timeMillisSpent","score"
500,"0hard/-1164soft"
856,"0hard/996soft"
1164,"0hard/3131soft"
1464,"0hard/5185soft"
1776,"0hard/7374soft"
2136,"0hard/9279soft"
2428,"0hard/11186soft"
2734,"0hard/12839soft"
3071,"0hard/14524soft"
3582,"0hard/15785soft"
4003,"0hard/17007soft"
4658,"0hard/17842soft"
5349,"0hard/17921soft"
5892,"0hard/19151soft"
7865,"0hard/20311soft"
13019,"0hard/21352soft"
13412,"0hard/21896soft"
13536,"0hard/22879soft"
14512,"0hard/22936soft"
14792,"0hard/23007soft"
14984,"0hard/23073soft"
15217,"0hard/23167soft"
