"timeMillisSpent","score"
8281,"0hard/10192soft"
8314,"0hard/11070soft"
8344,"0hard/9786soft"
8373,"0hard/8135soft"
8402,"0hard/10192soft"
8434,"0hard/11070soft"
8466,"0hard/9786soft"
8494,"0hard/7674soft"
8525,"0hard/9557soft"
8558,"0hard/11070soft"
8586,"0hard/10192soft"
8619,"0hard/8135soft"
8649,"0hard/9786soft"
8681,"0hard/11070soft"
8716,"0hard/10192soft"
8749,"0hard/8135soft"
8784,"0hard/6364soft"
8816,"0hard/7836soft"
8849,"0hard/10192soft"
8877,"0hard/11070soft"
8904,"0hard/9786soft"
8933,"0hard/8135soft"
8969,"0hard/10192soft"
9001,"0hard/11070soft"
9030,"0hard/9786soft"
9063,"0hard/8135soft"
9099,"0hard/10192soft"
9130,"0hard/11070soft"
9158,"0hard/9557soft"
9186,"0hard/7836soft"
9221,"0hard/10192soft"
9250,"0hard/11070soft"
9286,"0hard/9786soft"
9318,"0hard/8135soft"
9350,"0hard/10192soft"
9380,"0hard/11070soft"
9407,"0hard/9786soft"
9437,"0hard/8135soft"
9467,"0hard/10192soft"
9499,"0hard/11070soft"
9526,"0hard/9786soft"
9556,"0hard/8135soft"
9589,"0hard/10192soft"
9625,"0hard/8031soft"
9658,"0hard/9168soft"
9691,"0hard/10238soft"
9722,"0hard/8976soft"
9750,"0hard/10106soft"
9778,"0hard/8121soft"
9807,"0hard/9867soft"
9838,"0hard/8953soft"
9869,"0hard/7848soft"
9902,"0hard/9168soft"
9931,"0hard/10238soft"
9963,"0hard/8976soft"
9993,"0hard/10106soft"
10026,"0hard/8121soft"
10055,"0hard/9867soft"
10085,"0hard/8953soft"
10115,"0hard/7848soft"
10147,"0hard/9168soft"
10179,"0hard/10238soft"
10210,"0hard/8976soft"
10240,"0hard/10106soft"
10268,"0hard/8121soft"
10298,"0hard/9867soft"
10329,"0hard/8953soft"
10364,"0hard/7848soft"
10399,"0hard/9168soft"
10432,"0hard/10238soft"
10468,"0hard/8822soft"
10497,"0hard/11070soft"
10527,"0hard/10192soft"
10555,"0hard/8135soft"
10586,"0hard/6364soft"
10617,"0hard/7836soft"
10650,"0hard/10192soft"
10685,"0hard/11070soft"
10717,"0hard/9786soft"
10750,"0hard/8135soft"
10778,"0hard/10192soft"
10813,"0hard/11070soft"
10844,"0hard/9786soft"
10876,"0hard/8135soft"
10906,"0hard/6364soft"
10939,"0hard/7836soft"
10968,"0hard/10192soft"
10995,"0hard/11070soft"
11025,"0hard/9786soft"
11054,"0hard/8135soft"
11087,"0hard/10192soft"
11115,"0hard/11070soft"
11142,"0hard/9786soft"
11171,"0hard/8135soft"
11202,"0hard/10192soft"
11237,"0hard/11070soft"
11275,"0hard/9786soft"
11313,"0hard/8135soft"
11344,"0hard/10192soft"
11377,"0hard/11070soft"
11408,"0hard/9786soft"
11439,"0hard/8135soft"
11471,"0hard/10192soft"
11502,"0hard/11070soft"
11538,"0hard/9786soft"
11568,"0hard/8135soft"
11599,"0hard/10192soft"
11633,"0hard/11070soft"
11662,"0hard/9786soft"
11696,"0hard/8135soft"
11727,"0hard/10192soft"
11761,"0hard/11070soft"
11790,"0hard/9786soft"
11818,"0hard/8135soft"
11852,"0hard/10192soft"
11886,"0hard/11070soft"
11918,"0hard/9557soft"
11950,"0hard/7674soft"
11984,"0hard/9786soft"
12018,"0hard/11070soft"
12050,"0hard/10192soft"
12078,"0hard/8135soft"
12111,"0hard/9786soft"
12140,"0hard/11070soft"
12171,"0hard/10192soft"
12200,"0hard/8135soft"
12230,"0hard/9786soft"
12261,"0hard/11070soft"
12290,"0hard/10192soft"
12321,"0hard/8135soft"
12360,"0hard/9786soft"
12393,"0hard/11070soft"
12422,"0hard/10192soft"
12457,"0hard/8135soft"
12492,"0hard/9786soft"
12522,"0hard/11070soft"
12558,"0hard/10192soft"
12590,"0hard/8031soft"
12621,"0hard/9168soft"
12650,"0hard/10238soft"
12679,"0hard/8976soft"
12709,"0hard/10106soft"
12738,"0hard/8121soft"
12769,"0hard/9867soft"
12798,"0hard/8953soft"
12829,"0hard/7848soft"
