"timeMillisSpent","score"
101,"0hard/-1225soft"
144,"0hard/927soft"
178,"0hard/2467soft"
214,"0hard/4718soft"
256,"0hard/6637soft"
292,"0hard/8640soft"
326,"0hard/9839soft"
363,"0hard/8604soft"
400,"0hard/9469soft"
442,"0hard/7317soft"
467,"0hard/8420soft"
490,"0hard/6286soft"
514,"0hard/8525soft"
536,"0hard/7492soft"
568,"0hard/6338soft"
586,"0hard/7496soft"
613,"0hard/6272soft"
638,"0hard/7293soft"
669,"0hard/8309soft"
702,"0hard/6701soft"
721,"0hard/8168soft"
740,"0hard/6334soft"
763,"0hard/7444soft"
782,"0hard/6015soft"
806,"0hard/7759soft"
834,"0hard/10435soft"
860,"0hard/9329soft"
900,"0hard/7250soft"
920,"0hard/8937soft"
952,"0hard/7293soft"
977,"0hard/9078soft"
996,"0hard/10131soft"
1024,"0hard/8310soft"
1047,"0hard/7357soft"
1062,"0hard/8561soft"
1078,"0hard/7217soft"
1098,"0hard/9824soft"
1129,"0hard/8682soft"
1162,"0hard/6532soft"
1183,"0hard/6264soft"
1222,"0hard/4624soft"
1250,"0hard/6485soft"
1274,"0hard/7542soft"
1290,"0hard/6743soft"
1315,"0hard/7280soft"
1334,"0hard/7142soft"
1357,"0hard/7161soft"
1375,"0hard/6025soft"
1400,"0hard/4604soft"
1421,"0hard/6668soft"
1440,"0hard/6039soft"
1461,"0hard/7236soft"
1476,"0hard/8531soft"
1499,"0hard/7139soft"
1525,"0hard/8334soft"
1567,"0hard/6012soft"
1589,"0hard/7041soft"
1608,"0hard/5826soft"
1625,"0hard/7041soft"
1642,"0hard/5714soft"
1662,"0hard/7466soft"
1688,"0hard/6070soft"
1705,"0hard/7980soft"
1730,"0hard/7070soft"
1748,"0hard/8667soft"
1764,"0hard/7611soft"
1785,"0hard/7298soft"
1806,"0hard/8837soft"
1825,"0hard/6765soft"
1846,"0hard/8418soft"
1863,"0hard/9559soft"
1886,"0hard/7841soft"
1914,"0hard/5899soft"
1931,"0hard/7752soft"
1946,"0hard/9156soft"
1962,"0hard/7995soft"
1988,"0hard/6400soft"
2002,"0hard/8622soft"
2024,"0hard/8342soft"
2055,"0hard/6740soft"
2071,"0hard/8780soft"
2090,"0hard/9823soft"
2108,"0hard/8119soft"
2133,"0hard/6344soft"
2150,"0hard/8487soft"
2181,"0hard/10156soft"
