"timeMillisSpent","scoreCalculationSpeed"
1004,415
2000,731
3005,780
4001,764
5003,803
6007,805
7008,817
8015,802
9002,785
10006,771
11003,700
12003,784
13004,784
14006,788
15005,804
16002,809
17005,825
18005,816
19005,814
20004,816
21006,736
22004,836
23006,846
24007,801
25005,851
26003,828
27003,820
28003,812
29003,815
30001,835
31001,813
32003,820
33004,834
34000,835
35003,840
36005,841
37005,797
38004,838
39000,820
40005,808
41007,837
42000,846
43004,838
44000,824
45007,827
46000,830
47004,777
48007,850
49001,839
50000,838
51004,826
52001,838
53003,820
54003,851
55008,829
56003,834
57005,827
58000,844
59004,826
60000,850
61003,829
62001,836
63004,823
64006,838
65003,825
66002,836
67002,824
68001,835
69002,820
70000,841
71000,808
72001,838
73004,820
74003,855
75002,826
76003,829
77003,842
78006,831
79003,853
80004,805
81006,840
82007,836
83007,848
84000,852
85006,789
86004,810
87002,813
88000,871
89000,801
90003,821
91003,852
92000,811
93006,844
94004,840
95005,841
96001,838
97003,855
98006,824
99009,806
100003,862
101009,831
102005,820
103002,801
104004,827
105002,829
106004,826
107002,836
108003,830
109002,855
110002,846
111004,832
112003,826
113006,835
114001,834
115001,820
116003,840
117003,822
118004,823
119008,856
120000,849
