"timeMillisSpent","score"
89,"0hard/-1646soft"
116,"0hard/738soft"
142,"0hard/2081soft"
170,"0hard/3564soft"
189,"0hard/5488soft"
209,"0hard/8198soft"
229,"0hard/9869soft"
262,"0hard/11680soft"
308,"0hard/12130soft"
330,"0hard/13047soft"
346,"0hard/13518soft"
364,"0hard/14328soft"
379,"0hard/14328soft"
391,"0hard/16181soft"
403,"0hard/16414soft"
420,"0hard/16366soft"
432,"0hard/17528soft"
445,"0hard/17359soft"
455,"0hard/17449soft"
475,"0hard/15983soft"
487,"0hard/17654soft"
495,"0hard/18847soft"
507,"0hard/18896soft"
517,"0hard/18985soft"
526,"0hard/18502soft"
536,"0hard/18250soft"
550,"0hard/18149soft"
566,"0hard/18461soft"
577,"0hard/17929soft"
586,"0hard/18331soft"
597,"0hard/18353soft"
606,"0hard/18470soft"
613,"0hard/19860soft"
630,"0hard/19878soft"
641,"0hard/19683soft"
649,"0hard/19743soft"
659,"0hard/19911soft"
669,"0hard/19911soft"
680,"0hard/19313soft"
687,"0hard/19313soft"
699,"0hard/19436soft"
709,"0hard/19118soft"
716,"0hard/19655soft"
724,"0hard/19570soft"
733,"0hard/19118soft"
739,"0hard/19105soft"
750,"0hard/19017soft"
765,"0hard/19374soft"
771,"0hard/19130soft"
783,"0hard/19114soft"
793,"0hard/18992soft"
798,"0hard/19387soft"
813,"0hard/18927soft"
824,"0hard/17815soft"
831,"0hard/18066soft"
839,"0hard/18078soft"
856,"0hard/19051soft"
863,"0hard/19052soft"
873,"0hard/20280soft"
883,"0hard/20258soft"
893,"0hard/19803soft"
902,"0hard/18579soft"
910,"0hard/18620soft"
924,"0hard/18593soft"
940,"0hard/18593soft"
951,"0hard/18822soft"
966,"0hard/18932soft"
981,"0hard/17266soft"
987,"0hard/18665soft"
995,"0hard/18593soft"
1004,"-1hard/18636soft"
1011,"-1hard/18635soft"
1021,"0hard/17241soft"
1028,"0hard/17341soft"
1036,"0hard/17313soft"
1044,"0hard/17385soft"
1059,"0hard/15393soft"
1077,"0hard/15504soft"
1085,"0hard/13482soft"
1093,"0hard/13447soft"
1100,"0hard/13500soft"
1107,"0hard/15036soft"
1115,"0hard/15038soft"
1125,"0hard/14346soft"
1137,"0hard/14952soft"
1148,"0hard/14653soft"
1155,"0hard/15505soft"
1171,"0hard/15233soft"
1179,"0hard/15843soft"
1193,"0hard/15654soft"
1200,"0hard/16146soft"
1210,"0hard/15600soft"
1218,"0hard/16986soft"
1226,"0hard/17925soft"
1233,"0hard/18435soft"
1245,"0hard/18371soft"
1253,"0hard/17031soft"
1259,"0hard/18189soft"
1267,"0hard/18226soft"
1273,"0hard/18564soft"
1279,"0hard/17517soft"
1289,"0hard/17722soft"
1294,"0hard/17722soft"
1302,"0hard/17975soft"
1316,"0hard/18113soft"
1327,"0hard/18168soft"
1334,"0hard/18043soft"
1343,"0hard/18159soft"
1348,"0hard/17948soft"
1354,"0hard/17797soft"
1360,"0hard/17712soft"
1371,"0hard/16046soft"
1377,"0hard/16661soft"
1384,"0hard/17093soft"
1392,"0hard/16549soft"
1401,"0hard/17882soft"
1409,"0hard/18002soft"
1420,"0hard/19252soft"
1426,"0hard/19649soft"
1431,"0hard/19827soft"
1439,"0hard/20003soft"
1444,"0hard/20038soft"
1450,"0hard/20075soft"
1460,"0hard/18175soft"
1466,"0hard/18369soft"
1473,"0hard/17862soft"
1484,"0hard/17783soft"
1491,"0hard/17299soft"
1498,"0hard/19378soft"
1507,"0hard/19525soft"
1512,"0hard/17102soft"
1518,"0hard/18433soft"
1523,"0hard/17711soft"
1532,"0hard/17636soft"
1537,"0hard/17639soft"
1543,"0hard/17916soft"
1548,"0hard/17543soft"
1554,"0hard/17747soft"
1561,"0hard/17478soft"
1567,"0hard/17640soft"
1582,"0hard/19969soft"
1590,"0hard/18737soft"
1598,"0hard/18784soft"
1603,"0hard/19033soft"
1608,"0hard/18290soft"
1613,"0hard/18290soft"
1620,"0hard/18476soft"
1628,"0hard/18362soft"
1636,"0hard/17348soft"
1644,"0hard/17348soft"
1653,"0hard/17505soft"
1661,"0hard/17238soft"
1669,"0hard/17415soft"
1674,"0hard/18007soft"
1680,"-1hard/19784soft"
1686,"-1hard/20016soft"
1693,"-1hard/19625soft"
1702,"-1hard/19377soft"
1712,"0hard/17522soft"
1718,"0hard/16487soft"
1727,"0hard/16069soft"
1734,"-1hard/16756soft"
1745,"-1hard/16756soft"
1752,"-1hard/18381soft"
1757,"0hard/17072soft"
1764,"0hard/18345soft"
1771,"-1hard/16029soft"
1776,"0hard/15937soft"
1781,"0hard/15861soft"
1786,"0hard/15763soft"
1792,"0hard/16218soft"
1797,"0hard/16894soft"
1803,"0hard/18665soft"
1810,"0hard/18712soft"
1816,"0hard/19829soft"
1822,"0hard/19483soft"
1829,"0hard/19601soft"
1836,"0hard/19601soft"
1844,"0hard/20050soft"
1850,"0hard/19675soft"
1856,"0hard/18310soft"
1862,"0hard/18477soft"
1870,"0hard/18462soft"
1876,"0hard/16390soft"
1883,"0hard/15990soft"
1889,"0hard/15990soft"
1895,"0hard/17788soft"
1900,"0hard/17535soft"
1904,"0hard/17241soft"
1912,"0hard/16781soft"
1918,"0hard/16773soft"
1924,"0hard/16940soft"
1930,"0hard/16748soft"
1936,"0hard/17009soft"
1943,"0hard/18056soft"
1952,"0hard/16538soft"
1957,"0hard/16501soft"
1963,"0hard/16575soft"
1968,"0hard/16558soft"
1976,"0hard/16404soft"
1982,"0hard/18461soft"
1987,"0hard/18744soft"
1994,"0hard/17610soft"
2000,"0hard/17227soft"
2005,"0hard/17892soft"
2011,"0hard/18194soft"
2016,"0hard/17930soft"
2023,"0hard/19437soft"
2029,"0hard/19911soft"
2035,"0hard/19696soft"
2044,"0hard/19805soft"
2054,"0hard/19805soft"
2058,"0hard/19805soft"
2065,"0hard/19640soft"
2077,"0hard/20127soft"
2085,"0hard/18947soft"
2091,"0hard/18782soft"
2097,"0hard/18730soft"
2103,"0hard/16823soft"
2108,"0hard/17959soft"
2114,"0hard/16557soft"
2125,"0hard/16585soft"
2134,"0hard/16836soft"
2140,"0hard/17920soft"
2148,"0hard/17686soft"
2154,"0hard/17792soft"
2161,"0hard/18030soft"
2170,"0hard/20160soft"
2176,"0hard/20077soft"
2182,"0hard/20043soft"
2188,"0hard/19643soft"
2198,"0hard/19624soft"
2204,"0hard/18440soft"
2211,"0hard/18618soft"
2217,"0hard/18478soft"
2222,"0hard/19441soft"
2233,"0hard/19478soft"
2238,"0hard/19433soft"
2244,"0hard/19047soft"
2250,"0hard/17556soft"
2261,"0hard/17031soft"
2270,"0hard/17545soft"
2276,"0hard/18119soft"
2281,"0hard/18157soft"
2287,"0hard/18258soft"
2298,"0hard/19454soft"
2303,"0hard/19458soft"
2312,"0hard/19671soft"
2320,"0hard/19309soft"
2328,"0hard/19617soft"
2334,"0hard/19760soft"
2339,"0hard/19677soft"
2344,"0hard/19857soft"
2350,"0hard/19772soft"
2356,"0hard/18115soft"
2364,"0hard/16757soft"
2373,"0hard/17395soft"
2380,"0hard/17087soft"
2388,"0hard/17135soft"
2395,"0hard/15578soft"
2406,"0hard/14953soft"
2414,"0hard/15469soft"
2420,"0hard/16561soft"
2428,"0hard/16356soft"
2436,"0hard/16647soft"
2442,"0hard/16819soft"
2447,"0hard/16835soft"
2456,"0hard/17596soft"
2466,"0hard/17792soft"
2472,"0hard/17601soft"
2480,"0hard/18106soft"
2486,"0hard/17811soft"
2493,"0hard/18295soft"
2502,"0hard/18078soft"
2510,"0hard/18022soft"
2516,"0hard/15998soft"
2526,"0hard/15976soft"
2533,"0hard/16247soft"
2540,"0hard/16150soft"
2548,"0hard/17758soft"
2559,"0hard/17738soft"
2566,"0hard/15883soft"
2575,"0hard/16247soft"
2582,"0hard/16394soft"
2590,"0hard/16696soft"
2595,"0hard/16621soft"
2600,"0hard/16501soft"
2609,"0hard/16901soft"
2623,"0hard/17508soft"
2633,"0hard/17510soft"
2640,"0hard/17501soft"
2647,"0hard/15071soft"
2652,"0hard/14295soft"
2662,"0hard/12647soft"
2669,"0hard/13412soft"
2678,"0hard/13412soft"
2687,"0hard/13482soft"
2693,"0hard/11831soft"
2701,"0hard/11831soft"
2713,"0hard/12200soft"
2720,"0hard/14047soft"
2733,"0hard/15295soft"
2743,"0hard/15295soft"
2751,"0hard/15185soft"
2759,"0hard/17213soft"
2766,"0hard/15026soft"
2773,"0hard/13374soft"
2779,"0hard/14835soft"
2786,"0hard/15210soft"
2792,"0hard/15639soft"
2797,"0hard/15192soft"
2806,"0hard/15579soft"
2811,"0hard/14145soft"
2818,"0hard/15712soft"
2825,"0hard/15818soft"
2833,"0hard/15757soft"
2842,"0hard/15541soft"
2849,"0hard/18141soft"
2857,"0hard/19672soft"
2863,"0hard/19635soft"
2868,"0hard/19843soft"
2874,"0hard/18272soft"
2881,"0hard/19843soft"
2887,"0hard/19589soft"
2894,"0hard/19609soft"
2899,"0hard/19873soft"
2907,"0hard/17824soft"
2914,"0hard/18320soft"
2923,"0hard/18320soft"
2931,"0hard/18641soft"
2941,"0hard/18412soft"
2947,"0hard/18225soft"
