"timeMillisSpent","score"
66,"-7hard/48947soft"
107,"-6hard/44447soft"
121,"-6hard/52071soft"
135,"-6hard/55696soft"
297,"-6hard/58304soft"
324,"-6hard/61455soft"
348,"-6hard/62125soft"
377,"-5hard/48749soft"
392,"-5hard/51562soft"
467,"-5hard/55835soft"
497,"-5hard/56924soft"
737,"-4hard/41284soft"
745,"-4hard/44810soft"
