"timeMillisSpent","score"
67,"-7hard/48947soft"
90,"-7hard/47006soft"
108,"-6hard/44447soft"
122,"-6hard/52071soft"
135,"-6hard/55696soft"
156,"-7hard/58931soft"
181,"-7hard/61562soft"
212,"-9hard/69317soft"
243,"-9hard/68373soft"
276,"-7hard/61757soft"
297,"-6hard/58304soft"
324,"-6hard/61455soft"
348,"-6hard/62125soft"
377,"-5hard/48749soft"
393,"-5hard/51562soft"
415,"-7hard/62085soft"
441,"-6hard/61160soft"
467,"-5hard/55835soft"
497,"-5hard/56924soft"
504,"-6hard/64140soft"
526,"-6hard/59043soft"
552,"-6hard/55496soft"
604,"-6hard/49762soft"
644,"-6hard/53583soft"
714,"-5hard/53911soft"
737,"-4hard/41284soft"
746,"-4hard/44810soft"
770,"-5hard/48029soft"
808,"-5hard/54862soft"
823,"-5hard/54685soft"
843,"-6hard/60079soft"
860,"-5hard/57529soft"
879,"-5hard/46328soft"
897,"-5hard/50998soft"
914,"-6hard/61704soft"
926,"-6hard/58240soft"
1009,"-8hard/57705soft"
1093,"-8hard/57788soft"
30000,"-6hard/58046soft"
