"timeMillisSpent","score"
68,"0hard/-1704soft"
97,"0hard/224soft"
121,"0hard/1960soft"
154,"0hard/3981soft"
183,"0hard/6395soft"
221,"0hard/8148soft"
258,"0hard/10557soft"
291,"0hard/11700soft"
394,"0hard/12433soft"
401,"0hard/12772soft"
419,"0hard/12892soft"
494,"0hard/13679soft"
502,"0hard/14015soft"
535,"0hard/14139soft"
555,"0hard/15149soft"
607,"0hard/16824soft"
652,"0hard/17302soft"
675,"0hard/16810soft"
702,"0hard/18210soft"
813,"-1hard/19663soft"
825,"0hard/19336soft"
877,"0hard/19582soft"
933,"0hard/19657soft"
970,"0hard/19113soft"
986,"0hard/19674soft"
995,"0hard/19962soft"
1003,"0hard/20058soft"
1013,"0hard/18429soft"
1031,"0hard/17945soft"
1042,"0hard/16301soft"
1051,"0hard/16188soft"
1072,"0hard/18128soft"
1086,"0hard/17253soft"
1213,"0hard/15465soft"
1231,"0hard/15713soft"
1312,"0hard/14736soft"
1333,"0hard/15291soft"
1391,"0hard/13413soft"
1461,"0hard/14540soft"
30001,"0hard/15836soft"
