"timeMillisSpent","score"
66,"0hard/-1704soft"
97,"0hard/224soft"
120,"0hard/1960soft"
154,"0hard/3981soft"
183,"0hard/6395soft"
221,"0hard/8148soft"
258,"0hard/10557soft"
291,"0hard/11700soft"
394,"0hard/12433soft"
401,"0hard/12772soft"
419,"0hard/12892soft"
494,"0hard/13679soft"
502,"0hard/14015soft"
535,"0hard/14139soft"
555,"0hard/15149soft"
607,"0hard/16824soft"
652,"0hard/17302soft"
702,"0hard/18210soft"
825,"0hard/19336soft"
877,"0hard/19582soft"
933,"0hard/19657soft"
986,"0hard/19674soft"
995,"0hard/19962soft"
1003,"0hard/20058soft"
